Date,Volume,Open,High,Low,SMA_20,RSI,slowk,slowd,MACD,MACD_signal,MACD_hist,upper_band,middle_band,lower_band,Close,prediction,pred_tomorrow,target,status,buy_cost,sell_cost,trade_ret,net_trade_ret,open_ret,strategy_ret,strategy_net_ret,buy_and_hold_equity,strategy_equity,strategy_net_equity
2023-10-16,1028565397,126.3,126.3,125.7,124.52499999999992,55.36180511511136,90.90679522497705,90.00622897787606,0.1863150315786299,-0.306491326365411,0.4928063579440409,128.2153251889324,124.52499999999992,120.83467481106744,126.25,126.38302,126.64908,1,0.0,0.0,126.3,0.031862745098039144,0.028662745098039143,-0.005511811023622082,-0.005511811023622082,-0.008711811023622082,0.9158810732414757,2.731909802211344,1.9434013541373467
2023-10-17,888838340,126.7,127.0,126.4,124.50499999999997,56.41221739272921,86.50137741046827,91.22031900159703,0.2891003723903935,-0.1873729866142501,0.4764733590046436,128.14655186700207,124.50499999999997,120.86344813299785,126.55,126.64908,125.71569,0,1.0,126.7,0.0,0.0,0.0,0.003167062549485289,0.0,0.0,0.9187817258883212,2.731909802211344,1.9434013541373467
2023-10-18,1309803222,126.25,126.25,124.8,124.37749999999996,49.14695566773642,74.65564738292005,84.02127333945505,0.2267344670732285,-0.1045514958767543,0.3312859629499829,127.78256607866008,124.37749999999996,120.97243392133986,124.8,125.71569,125.527565,0,0.0,0.0,126.25,-0.00355169692186269,-0.00675169692186269,-0.003551696921862635,-0.003551696921862635,-0.006751696921862635,0.91551849166062,2.7222068865760236,1.930280097196674
2023-10-19,1005789594,124.4,125.2,124.4,124.31999999999996,49.347677261898106,66.9421487603305,76.03305785123955,0.1792770259606442,-0.0477857915092746,0.2270628174699188,127.6515762035473,124.31999999999996,120.98842379645264,124.85,125.527565,124.79258,0,0.0,0.0,0.0,0.0,0.0,-0.014653465346534555,-0.0,-0.0,0.9021029731689596,2.7222068865760236,1.930280097196674
2023-10-20,585353175,124.75,125.45,123.9,124.31749999999997,51.61027656411127,60.60606060606059,67.40128558310366,0.1839268709469621,-0.0014432590180272,0.1853701299649894,127.64575404679982,124.31749999999997,120.98924595320013,125.4,124.79258,123.90364,0,0.0,0.0,0.0,0.0,0.0,0.002813504823151014,0.0,0.0,0.9046410442349493,2.7222068865760236,1.930280097196674
2023-10-23,1081610006,124.85,124.85,123.55,124.27249999999997,45.44880505392331,55.37190082644626,60.97337006427906,0.0618271555266005,0.0112108238908982,0.0506163316357022,127.60048362376398,124.27249999999997,120.94451637623597,123.85,123.90364,123.8181,0,0.0,0.0,0.0,0.0,0.0,0.0008016032064128709,0.0,0.0,0.9053662073966607,2.7222068865760236,1.930280097196674
2023-10-24,946216726,123.8,123.95,122.7,124.33249999999995,45.897569066803214,50.41322314049591,55.46372819100086,-0.0265623896662958,0.0036561811794594,-0.0302185708457553,127.59106947141709,124.33249999999995,121.07393052858284,123.95,123.8181,123.62312,0,0.0,0.0,0.0,0.0,0.0,-0.008410092110532563,-0.0,-0.0,0.8977519941986913,2.7222068865760236,1.930280097196674
2023-10-25,526223763,124.2,124.9,124.2,124.40999999999994,47.069876064912826,43.801652892562025,49.86225895316801,-0.075567732599012,-0.0121886015762348,-0.0633791310227772,127.57727011795014,124.40999999999994,121.24272988204974,124.2,123.62312,122.66695,0,0.0,0.0,0.0,0.0,0.0,0.003231017770597866,0.0,0.0,0.900652646845537,2.7222068865760236,1.930280097196674
2023-10-26,2932698311,121.85,122.4,121.6,124.31999999999994,38.309186898812534,30.88961717488373,41.7014977359805,-0.3085426567474485,-0.0714594126104775,-0.2370832441369709,127.67654584358168,124.31999999999994,120.96345415641818,121.75,122.66695,122.17807,0,0.0,0.0,0.0,0.0,0.0,-0.018921095008051614,-0.0,-0.0,0.8836113125453194,2.7222068865760236,1.930280097196674
2023-10-27,540170286,122.15,122.75,122.1,124.32999999999996,40.96551832190968,20.587536810107427,31.759602292517673,-0.4436820684677656,-0.1459039437819352,-0.2977781246858304,127.661125935784,124.32999999999996,120.99887406421593,122.3,122.17807,122.39707,1,0.0,0.0,0.0,0.0,0.0,0.0024620434961017956,0.0,0.0,0.8857868020304536,2.7222068865760236,1.930280097196674
2023-10-30,1196075934,122.4,122.85,121.75,124.32249999999996,39.95492747446618,7.183908045977108,19.553687343656033,-0.568435942966957,-0.2304103436189395,-0.3380255993480174,127.67383928453364,124.32249999999996,120.97116071546628,122.0,122.39707,121.47353,0,1.0,122.4,0.0,0.0,0.0,0.002046663937781412,0.0,0.0,0.887599709934732,2.7222068865760236,1.930280097196674
2023-10-31,1453195970,122.4,122.45,121.1,124.24749999999996,37.15793779316025,6.586389345010159,11.452611400364844,-0.7275059478541692,-0.3298294644659855,-0.3976764833881837,127.80593715696406,124.24749999999996,120.68906284303584,121.15,121.47353,121.58932,1,0.0,0.0,122.4,0.0,-0.0032,0.0,0.0,-0.0032,0.887599709934732,2.7222068865760236,1.9241032008856447
2023-11-01,590621617,122.0,122.15,121.25,124.12249999999996,40.33313528832252,6.002554278416487,6.590950556467864,-0.7959795306250044,-0.4230594776977893,-0.3729200529272151,127.84371955816373,124.12249999999996,120.40128044183618,121.75,121.58932,123.66119,1,1.0,122.0,0.0,0.0,0.0,-0.0032679738562092497,-0.0,-0.0,0.8846990572878864,2.7222068865760236,1.9241032008856447
2023-11-02,1264950789,123.15,124.5,123.15,124.17249999999994,52.243365488570525,22.912743251726425,11.833895625050973,-0.6211827133585643,-0.4626841248299443,-0.15849858852862,127.88578358734678,124.17249999999994,120.4592164126531,124.5,123.66119,124.85722,1,1.0,0.0,0.0,0.0,0.0,0.009426229508196826,0.009426229508196826,0.009426229508196826,0.8930384336475674,2.747867033457683,1.942240239254649
2023-11-03,1142874376,125.0,125.6,124.7,124.34999999999994,55.54467555971081,47.22446417361681,25.379920567919857,-0.4013711589377493,-0.4504215316515053,0.049050372713756,127.94944440158068,124.34999999999994,120.75055559841918,125.45,124.85722,126.517975,1,1.0,0.0,0.0,0.0,0.0,0.015022330491270663,0.015022330491270663,0.015022330491270663,0.9064539521392279,2.789146400180352,1.9714172140221768
2023-11-06,2122057421,126.55,127.2,126.35,124.49499999999992,59.07260932814488,73.56673149949064,47.901312974944574,-0.1368308110703111,-0.3877033875352665,0.2508725764649553,128.2020068788813,124.49499999999992,120.7879931211186,126.55,126.517975,126.57469,1,1.0,0.0,0.0,0.0,0.0,0.012399999999999967,0.012399999999999967,0.012399999999999967,0.9176939811457543,2.8237318155425886,1.9958627874760517
2023-11-07,858536486,126.5,126.8,126.1,124.61499999999994,58.844017365341415,83.86588867277952,68.2190281152956,0.0680008667297755,-0.296562536682258,0.3645634034120336,128.41724933428517,124.61499999999994,120.81275066571472,126.5,126.57469,126.92326,1,1.0,0.0,0.0,0.0,0.0,-0.0003951007506913795,-0.0003951007506913795,-0.0003951007506913795,0.9173313995648986,2.8226161569825163,1.995074220590443
2023-11-08,1474341891,126.65,127.45,126.5,124.66249999999994,61.11280644323117,91.3106148616669,82.91441167797898,0.283547043163125,-0.1805406207131814,0.4640876638763065,128.5676088333209,124.66249999999994,120.757391166679,127.2,126.92326,127.06561,1,1.0,0.0,0.0,0.0,0.0,0.0011857707509881354,0.0011857707509881354,0.0011857707509881354,0.9184191443074657,2.8259631326627326,1.9974399212472695
